KEY                                FIRST AUTHOR             YEAR   TITLE
----------------------------------------------------------------------------------------------------
2023revisedcommonnd                ?                        ----   2023 Revised Common Lectionary – Sundays & Special Days Only
abdulhusseinetal2022               AbdulHussein             2022   Changes in consumer spending behavior during the COVID-19 pand
abizadeh2021                       Abizadeh                 2021   Counter-Majoritarian Democracy: Persistent Minorities, Federal
abouchadikayser2017                Abou-Chadi               2017   It's not easy being green: Why voters punish parties for envir
abramovichvasiliu2023              Abramovich               2023   Sustainability as fairness: A Rawlsian framework linking inter
abramsonmontero2020                Abramson                 2020   Learning about Growth and Democracy
accessibilitystatisticsguind       ?                        ----   Accessibility Statistics Guidance
acemogluetal2000                   Acemoglu                 2000   Why Did the West Extend the Franchise? Democracy, Inequality, 
acemogluetal2013                   Acemoglu                 2013   A Political Theory of Populism *
acemogluetal2013a                  Acemoglu                 2013   A Political Theory of Populism*
acemoglurobinson2001               Acemoglu                 2001   A Theory of Political Transitions
acemoglurobinson2001a              Acemoglu                 2001   Inefficient Redistribution
acemoglurobinson2001b              Acemoglu                 2001   A Theory of Political Transitions
adegboyegaetal2021                 Adegboyega               2021   Social distance impact on church gatherings: Socio-behavioral 
afterstormeowynnd                  ?                        ----   After Storm Éowyn, can Ireland’s electricity, water and phone 
agencynd                           Agency                   ----   Ireland’s Climate Change Assessment (ICCA)
agencynda                          Agency                   ----   Climate Change in the Irish Mind
ahmedmemish2019                    Ahmed                    2019   From the “Madding Crowd” to mass gatherings-religion, sport, c
ahmedstasavage2020                 Ahmed                    2020   Origins of Early Democracy
ainsleyetal2020                    Ainsley                  2020   Roll-Call Vote Selection: Implications for the Study of Legisl
albertusklaus2025                  Albertus                 2025   Land and Politics
aldrich1995                        Aldrich                  1995   Why Parties?: The Origin and Transformation of Political Parti
alesinatabellini1990               Alesina                  1990   A Positive Theory of Fiscal Deficits and Government Debt
alonetal2020                       Alon                     2020   Regime Type and COVID-19 Response
alvarezbrehm2002                   Alvarez                  2002   Hard Choices, Easy Answers: Values, Information, and American 
andersenetal2020                   Andersen                 2020   Pandemic, Shutdown and Consumer Spending: Lessons from Scandin
anderssondehdari2021               Andersson                2021   Workplace Contact and Support for Anti-Immigration Parties
andrewsmontinola2004               Andrews                  2004   Veto Players and the Rule of Law in Emerging Democracies
anonnd                             ?                        ----   
anonnda                            ?                        ----   
anonndb                            ?                        ----   
aokirothwell2013                   Aoki                     2013   A comparative institutional analysis of the Fukushima nuclear 
ap1986                             Ap                       1986   EXCERPTS FROM GORBACHEV'S SPEECH ON CHERNOBYL ACCIDENT
applebyetal2020                    Appleby                  2020   Clifford Geertz (1973): Thick Description: Toward an Interpret
arriolaetal2021                    Arriola                  2021   Democratic Subversion: Elite Cooptation and Opposition Fragmen
artesetal2019                      Artés                    2019   A global wildfire dataset for the analysis of fire regimes and
asiandevelopmentbank2020           Asian Development Bank   2020   Ireland Trust Fund for Building Climate Change and Disaster Re
aslanidis2016                      Aslanidis                2016   Populist Social Movements of the Great Recession*
aslanidis2017                      Aslanidis                2017   Populism and Social Movements
aslanidis2018                      Aslanidis                2018   Populism as a Collective Action Master Frame for Transnational
aslanidis2018a                     Aslanidis                2018   Populism as a Collective Action Master Frame for Transnational
atsusaka2021                       Atsusaka                 2021   A Logical Model for Predicting Minority Representation: Applic
